,Residuals
2001-09-20,1.4077358745905437
2001-09-21,1.4020136553874911
2001-09-24,1.4195162050466523
2001-09-25,1.391312343309795
2001-09-26,1.379018520736663
2001-09-27,1.4287926074020336
2001-09-28,1.4460958361756906
2001-10-01,1.427873106886481
2001-10-02,1.415822034216316
2001-10-03,1.4095463902480514
2001-10-04,1.398322006959802
2001-10-05,1.4192547918000873
2001-10-08,1.4096269922577065
2001-10-09,1.432565741555627
2001-10-10,1.4473954730011154
2001-10-11,1.4735134233461626
2001-10-15,1.5138581238954814
2001-10-16,1.4915020558537302
2001-10-17,1.4881862430177302
2001-10-18,1.460166404755459
2001-10-19,1.4949121424740817
2001-10-22,1.520015422915023
2001-10-23,1.501668853212903
2001-10-24,1.4865091708288638
2001-10-25,1.509954998445863
2001-10-26,1.508757297902577
2001-10-29,1.470135283474062
2001-10-30,1.4458056422999368
2001-10-31,1.4866077158493098
2001-11-01,1.484604681891672
2001-11-05,1.5494387079498964
2001-11-06,1.552098242227018
2001-11-07,1.5562108606784806
2001-11-08,1.5413626237533444
2001-11-09,1.5515037761042736
2001-11-12,1.5318657474099355
2001-11-13,1.5591685897637433
2001-11-14,1.5433472732689086
2001-11-16,1.5457225518402984
2001-11-19,1.5506267324133551
2001-11-20,1.5191640705998406
2001-11-21,1.5362007257022965
2001-11-22,1.5513020874783434
2001-11-23,1.5761655900802856
2001-11-26,1.5902239620374936
2001-11-27,1.5675578190877366
2001-11-28,1.5212997977474378
2001-11-29,1.5084166737217615
2001-11-30,1.5316182077431115
2001-12-03,1.5612312107819424
2001-12-04,1.5387405395832814
2001-12-05,1.5572424633212676
2001-12-06,1.5637688754490604
2001-12-07,1.5405394451351002
2001-12-10,1.553687895102791
2001-12-11,1.54340803147341
2001-12-12,1.5598752760477228
2001-12-13,1.524276198687084
2001-12-14,1.5160034962874804
2001-12-17,1.5178719995558403
2001-12-18,1.5578470551843089
2001-12-19,1.541545738969949
2001-12-20,1.512622589463858
2001-12-21,1.553718188674
2001-12-26,1.5462618604552154
2001-12-27,1.573551676237245
2001-12-28,1.5514851807461962
2002-01-02,1.5727915856339276
2002-01-03,1.5940972905445543
2002-01-04,1.5883918196859566
2002-01-07,1.5857307195626893
2002-01-08,1.5665802077308149
2002-01-09,1.5572272496343587
2002-01-10,1.5265888630654771
2002-01-11,1.5366013857774101
2002-01-14,1.504246315095756
2002-01-15,1.5062391630478267
2002-01-16,1.5182028549116104
2002-01-17,1.539081302985227
2002-01-18,1.5382273382135545
2002-01-21,1.5203643970187635
2002-01-22,1.5127487517243097
2002-01-23,1.5346077880564057
2002-01-24,1.5266691524411393
2002-01-28,1.515351453191209
2002-01-29,1.4797378287422194
2002-01-30,1.4941282014053212
2002-01-31,1.5132040449249509
2002-02-01,1.5069391493031103
2002-02-04,1.4970795386056586
2002-02-05,1.5198530962630246
2002-02-06,1.5172155041892799
2002-02-07,1.5114390885842175
2002-02-08,1.5060610174885385
2002-02-13,1.53692164714941
2002-02-14,1.552282653653139
2002-02-15,1.5434107855272488
2002-02-18,1.5324624086227034
2002-02-19,1.5229855808923745
2002-02-20,1.548972957547492
2002-02-21,1.560278825726087
2002-02-22,1.5561673938336602
2002-02-25,1.582793670452701
2002-02-26,1.5718074600881726
2002-02-27,1.585374372311815
2002-02-28,1.56538196009106
2002-03-01,1.591884885943084
2002-03-04,1.587407762962863
2002-03-05,1.5502666766236546
2002-03-06,1.5434519680300833
2002-03-07,1.539512714702564
2002-03-08,1.5600036740790237
