,Residuals
2001-10-18,1352.1094690759628
2001-10-19,1738.2208820895503
2001-10-22,2036.1894150788776
2001-10-23,1833.354428637057
2001-10-24,1661.228960614133
2001-10-25,1933.075893063451
2001-10-26,1925.4897433110036
2001-10-29,1481.3703408464162
2001-10-30,1207.0366697855425
2001-10-31,1658.9172686196116
2001-11-01,1642.0376350942588
2001-11-05,2408.0758258062324
2001-11-06,2463.9831924684895
2001-11-07,2529.747375339756
2001-11-08,2353.343544830125
2001-11-09,2486.162286899489
2001-11-12,2244.2793176520445
2001-11-13,2593.1678134909434
2001-11-14,2398.408315405699
2001-11-16,2431.268949077552
2001-11-19,2498.1475586605065
2001-11-20,2098.5511834163963
2001-11-21,2312.1182559880262
2001-11-22,2510.362165153507
2001-11-23,2846.176499099196
2001-11-26,3050.7044938915633
2001-11-27,2752.530982926356
2001-11-28,2138.882619524895
2001-11-29,1969.7341046121983
2001-11-30,2263.8198939467984
2001-12-03,2656.0937332855056
2001-12-04,2366.904823088933
2001-12-05,2612.1775161988817
2001-12-06,2705.89944455578
2001-12-07,2398.8890890839857
2001-12-10,2573.0958256974627
2001-12-11,2438.35808211547
2001-12-12,2659.7324467434864
2001-12-13,2187.9925123075045
2001-12-14,2076.6219083295437
2001-12-17,2098.2883786943803
2001-12-18,2622.5083539264506
2001-12-19,2414.120127456703
2001-12-20,2035.8276560370896
2001-12-21,2570.6375529643346
2001-12-26,2478.999270071902
2001-12-27,2851.5699778332164
2001-12-28,2558.8171674008763
2002-01-02,2851.343112709432
2002-01-03,3159.232366356344
2002-01-04,3089.599732255989
2002-01-07,3057.6160733989045
2002-01-08,2788.2940676276885
2002-01-09,2655.9560912432335
2002-01-10,2232.8119866641664
2002-01-11,2364.1568448421867
2002-01-14,1932.7137019096053
2002-01-15,1955.0892213475427
2002-01-16,2109.7499361927494
2002-01-17,2386.67132179938
2002-01-18,2380.3911461556436
2002-01-21,2145.52398609364
2002-01-22,2044.2613755982584
2002-01-23,2328.623390508853
2002-01-24,2227.486732813317
2002-01-28,2079.5281085173974
2002-01-29,1624.6408765287451
2002-01-30,1799.9997885432622
2002-01-31,2040.6495027549327
2002-02-01,1964.471963332724
2002-02-04,1840.65891898251
2002-02-05,2126.315194213006
2002-02-06,2096.573608067566
2002-02-07,2024.1947579734697
2002-02-08,1955.9492219167987
2002-02-13,2348.8971395776407
2002-02-14,2557.9495140504805
2002-02-15,2448.3069248986812
2002-02-18,2306.4411392637367
2002-02-19,2182.473607044715
2002-02-20,2522.381042287716
2002-02-21,2680.5399395078193
2002-02-22,2631.3159581908913
2002-02-25,3001.5700789272523
2002-02-26,2858.703590238083
2002-02-27,3053.9072111061514
2002-02-28,2778.250467630489
2002-03-01,3155.1879692560033
2002-03-04,3099.718461031036
2002-03-05,2574.1870902864794
2002-03-06,2475.4878550998474
2002-03-07,2418.864905869599
2002-03-08,2700.320601222059
2002-03-11,2392.937581872946
2002-03-12,2931.315152559002
2002-03-13,2889.8841393076236
2002-03-14,2710.021703138944
2002-03-15,2961.7214387223976
2002-03-18,2771.8640466112483
2002-03-19,2644.117708818365
2002-03-20,2638.170007052624
2002-03-21,2275.3143628738653
2002-03-22,1964.0901141747245
2002-03-25,2063.4264253919055
2002-03-26,2420.3790587104013
2002-03-27,2239.276266097788
2002-03-28,2102.767932353305
2002-04-01,2373.780115697341
2002-04-02,2125.677587066568
2002-04-03,2018.4789348279483
2002-04-04,2356.2621245530063
2002-04-05,2233.3738466954737
2002-04-08,2131.406942697502
2002-04-09,2203.5737938388593
2002-04-10,2432.7485140241233
2002-04-11,2381.370794281619
2002-04-12,2708.311553301497
2002-04-15,2339.4313589426565
2002-04-16,2524.994621054294
2002-04-17,2603.0619136794976
2002-04-18,2404.78667888814
2002-04-19,2331.718190974765
2002-04-22,2104.7165669745245
2002-04-23,2141.1234192350503
2002-04-24,2371.5323765646644
2002-04-25,2235.901898240876
