Date,Open,Low,High,Close,Qt
03/01/2000,16930.42,16930.42,16930.42,16930.42,16930.42
04/01/2000,15851,15851,15851,15851,15851
05/01/2000,16245.14,16245.14,16245.14,16245.14,16245.14
06/01/2000,16106.89,16106.89,16106.89,16106.89,16106.89
07/01/2000,16309.15,16309.15,16309.15,16309.15,16309.15
10/01/2000,17022.13,17022.13,17022.13,17022.13,17022.13
11/01/2000,16572.72,16572.72,16572.72,16572.72,16572.72
12/01/2000,16616.87,16616.87,16616.87,16616.87,16616.87
13/01/2000,17298.07,17298.07,17298.07,17298.07,17298.07
14/01/2000,17657.95,17657.95,17657.95,17657.95,17657.95
17/01/2000,18053.22,18053.22,18053.22,18053.22,18053.22
18/01/2000,17903.23,17903.23,17903.23,17903.23,17903.23
19/01/2000,17470.24,17470.24,17470.24,17470.24,17470.24
20/01/2000,17176.73,17176.73,17176.73,17176.73,17176.73
21/01/2000,17034.21,17034.21,17034.21,17034.21,17034.21
24/01/2000,16971.73,16971.73,16971.73,16971.73,16971.73
26/01/2000,17105.26,17105.26,17105.26,17105.26,17105.26
27/01/2000,17081.16,17081.16,17081.16,17081.16,17081.16
28/01/2000,16734.39,16734.39,16734.39,16734.39,16734.39
31/01/2000,16388.27,16388.27,16388.27,16388.27,16388.27
01/02/2000,16522.2,16522.2,16522.2,16522.2,16522.2
02/02/2000,16868.46,16868.46,16868.46,16868.46,16868.46
03/02/2000,17457.12,17457.12,17457.12,17457.12,17457.12
04/02/2000,17932.47,17932.47,17932.47,17932.47,17932.47
07/02/2000,18125.6,18125.6,18125.6,18125.6,18125.6
08/02/2000,18685.58,18685.58,18685.58,18685.58,18685.58
09/02/2000,18361.39,18361.39,18361.39,18361.39,18361.39
10/02/2000,18603.81,18603.81,18603.81,18603.81,18603.81
11/02/2000,18083.46,18083.46,18083.46,18083.46,18083.46
14/02/2000,17819.01,17819.01,17819.01,17819.01,17819.01
15/02/2000,17920.73,17920.73,17920.73,17920.73,17920.73
16/02/2000,18112.47,18112.47,18112.47,18112.47,18112.47
17/02/2000,17979.41,17979.41,17979.41,17979.41,17979.41
18/02/2000,17625.02,17625.02,17625.02,17625.02,17625.02
21/02/2000,17699.76,17699.76,17699.76,17699.76,17699.76
22/02/2000,17489.33,17489.33,17489.33,17489.33,17489.33
23/02/2000,17833.39,17833.39,17833.39,17833.39,17833.39
24/02/2000,17775.79,17775.79,17775.79,17775.79,17775.79
25/02/2000,17786.82,17786.82,17786.82,17786.82,17786.82
28/02/2000,17542.7,17542.7,17542.7,17542.7,17542.7
29/02/2000,17660.2,17660.2,17660.2,17660.2,17660.2
01/03/2000,17953.01,17953.01,17953.01,17953.01,17953.01
02/03/2000,18015.5,18015.5,18015.5,18015.5,18015.5
03/03/2000,18631.73,18631.73,18631.73,18631.73,18631.73
08/03/2000,18282.93,18282.93,18282.93,18282.93,18282.93
09/03/2000,18650.46,18650.46,18650.46,18650.46,18650.46
10/03/2000,18280.35,18280.35,18280.35,18280.35,18280.35
13/03/2000,17594.82,17594.82,17594.82,17594.82,17594.82
14/03/2000,17221.88,17221.88,17221.88,17221.88,17221.88
15/03/2000,17381.6,17381.6,17381.6,17381.6,17381.6
16/03/2000,17642.22,17642.22,17642.22,17642.22,17642.22
17/03/2000,17511.24,17511.24,17511.24,17511.24,17511.24
20/03/2000,17525.59,17525.59,17525.59,17525.59,17525.59
21/03/2000,18342.79,18342.79,18342.79,18342.79,18342.79
22/03/2000,18314,18314,18314,18314,18314
23/03/2000,18331.05,18331.05,18331.05,18331.05,18331.05
24/03/2000,18674.53,18674.53,18674.53,18674.53,18674.53
27/03/2000,18951.48,18951.48,18951.48,18951.48,18951.48
28/03/2000,18337.9,18337.9,18337.9,18337.9,18337.9
29/03/2000,18053.36,18053.36,18053.36,18053.36,18053.36
30/03/2000,17646.77,17646.77,17646.77,17646.77,17646.77
31/03/2000,17820.37,17820.37,17820.37,17820.37,17820.37
03/04/2000,17245.47,17245.47,17245.47,17245.47,17245.47
04/04/2000,16757.93,16757.93,16757.93,16757.93,16757.93
05/04/2000,16714.37,16714.37,16714.37,16714.37,16714.37
06/04/2000,17146.13,17146.13,17146.13,17146.13,17146.13
07/04/2000,17513.72,17513.72,17513.72,17513.72,17513.72
10/04/2000,16783.32,16783.32,16783.32,16783.32,16783.32
11/04/2000,16539.35,16539.35,16539.35,16539.35,16539.35
12/04/2000,16323.36,16323.36,16323.36,16323.36,16323.36
13/04/2000,15500.81,15500.81,15500.81,15500.81,15500.81
14/04/2000,14794.34,14794.34,14794.34,14794.34,14794.34
17/04/2000,14815.68,14815.68,14815.68,14815.68,14815.68
18/04/2000,15408.4,15408.4,15408.4,15408.4,15408.4
19/04/2000,14926.15,14926.15,14926.15,14926.15,14926.15
20/04/2000,15203.21,15203.21,15203.21,15203.21,15203.21
24/04/2000,14794.23,14794.23,14794.23,14794.23,14794.23
25/04/2000,15400.58,15400.58,15400.58,15400.58,15400.58
26/04/2000,15446.36,15446.36,15446.36,15446.36,15446.36
27/04/2000,15440.11,15440.11,15440.11,15440.11,15440.11
28/04/2000,15537.6,15537.6,15537.6,15537.6,15537.6
02/05/2000,15524.13,15524.13,15524.13,15524.13,15524.13
03/05/2000,15108.56,15108.56,15108.56,15108.56,15108.56
04/05/2000,14969.59,14969.59,14969.59,14969.59,14969.59
05/05/2000,15217.86,15217.86,15217.86,15217.86,15217.86
08/05/2000,14890.96,14890.96,14890.96,14890.96,14890.96
09/05/2000,14581.52,14581.52,14581.52,14581.52,14581.52
10/05/2000,14433.81,14433.81,14433.81,14433.81,14433.81
11/05/2000,14498.54,14498.54,14498.54,14498.54,14498.54
12/05/2000,14458.94,14458.94,14458.94,14458.94,14458.94
15/05/2000,15055.53,15055.53,15055.53,15055.53,15055.53
